연번	등급분류필증번호	게임물명	신청자(상호)	신청일자	결정일자	결정등급	접수번호	등급분류기관
134	GC-CC-NP-181019-006	Lolly Pang VR(롤리 팡 VR)	(주)와이즈캣	2018-09-19	2018-10-19	전체이용가	GC-DG-NP-18-00325	GCRB
135	GC-CC-NP-181019-007	Ballistic Drift on STOVE (볼리스틱 드리프트 온스토브)	(주)스마일게이트스토브	2018-10-12	2018-10-19	12세이용가	GC-DG-NP-18-00327	GCRB
136	GC-CC-NP-181019-008	Pixel Arcade on STOVE (픽셀 아케이드 온스토브)	(주)스마일게이트스토브	2018-10-12	2018-10-19	전체이용가	GC-DG-NV-18-00372	GCRB
137	GC-CC-NP-181019-009	[PC] 풋볼매니저 2019	주식회사 세가퍼블리싱코리아	2018-10-01	2018-10-19	전체이용가	GC-DG-NV-18-00373	GCRB
138	GC-CC-NP-181019-010	PC_역전재판 123 나루호도 셀렉션	캡콤엔터테인먼트코리아 주식회사	2018-10-02	2018-10-19	12세이용가	GC-DG-NV-18-00374	GCRB
139	GC-CC-NP-181019-011	PC_캡콤 벨트액션 컬렉션	캡콤엔터테인먼트코리아 주식회사	2018-10-02	2018-10-19	12세이용가	GC-DG-NV-18-00382	GCRB
140	GC-CC-NP-181019-012	타이젬바둑(웹버전-대국)	동양온라인	2018-10-04	2018-10-19	전체이용가	GC-DG-NV-18-00383	GCRB
141	GC-CC-NP-181019-013	PC God Eater 3 (갓 이터3)	반다이남코 엔터테인먼트 코리아(주)	2018-10-02	2018-10-19	15세이용가	GC-DG-NV-18-00376	GCRB
142	GC-CC-NP-181019-014	그립 (GRIP) PC	(주) 에이치투인터렉티브	2018-10-08	2018-10-19	12세이용가	GC-DG-NV-18-00377	GCRB
143	GC-CC-NP-181019-015	좀비 버스터즈 VR (ZombieBusters VR)	주식회사 스토익엔터테인먼트	2018-10-11	2018-10-19	12세이용가	GC-DG-NV-18-00378	GCRB
144	GC-CC-NP-181019-016	Call of Duty: Black Ops 4 (콜 오브 듀티: 블랙 옵스 4)	블리자드엔터테인먼트 유한회사	2018-10-11	2018-10-19	15세이용가	GC-DG-NV-18-00379	GCRB
145	GC-CC-NP-181019-017	라이토 좌표를 찾아라	(주)휴먼웍스	2018-10-12	2018-10-19	전체이용가	GC-DG-NV-18-00375	GCRB
146	GC-CC-NV-181019-001	스낵월드 트레져러스 골드	(주)신세계아이앤씨	2018-10-05	2018-10-19	전체이용가	GC-DG-NV-18-00386	GCRB
147	GC-CC-NV-181019-002	[PS4] The Sims™ 4 Seasons (더 심즈 4 사계절 이야기)	일렉트로닉아츠코리아 (유)	2018-10-08	2018-10-19	15세이용가	GC-DG-NV-18-00385	GCRB
148	GC-CC-NV-181019-003	[X1] The Sims™ 4 Seasons (더 심즈 4 사계절 이야기)	일렉트로닉아츠코리아 (유)	2018-10-08	2018-10-19	15세이용가	GC-DG-NV-18-00387	GCRB
149	GC-CC-NV-181019-004	기어 클럽 언리미티드 2 (Gear.Club Unlimited 2) NSW	(주) 에이치투인터렉티브	2018-09-27	2018-10-19	전체이용가	GC-DG-NV-18-00388	GCRB
150	GC-CC-NV-181019-005	Iconoclasts PS4 (아이코노클라스트 PS4)	(주)인트라게임즈	2018-10-01	2018-10-19	12세이용가	GC-DG-NP-18-00314	GCRB
151	GC-CC-NV-181019-006	Iconoclasts PSV (아이코노클라스트 PSV)	(주)인트라게임즈	2018-10-01	2018-10-19	12세이용가	GC-DG-NP-18-00319	GCRB
152	GC-CC-NV-181019-007	Iconoclasts Switch (아이코노클라스트 Switch)	(주)인트라게임즈	2018-10-01	2018-10-19	12세이용가	GC-DG-NP-18-00326	GCRB
153	GC-CC-NV-181019-008	PS4_역전재판 123 나루호도 셀렉션	캡콤엔터테인먼트코리아 주식회사	2018-10-04	2018-10-19	12세이용가	GC-DG-NV-18-00390	GCRB
154	GC-CC-NV-181019-009	XB1_역전재판 123 나루호도 셀렉션	캡콤엔터테인먼트코리아 주식회사	2018-10-04	2018-10-19	12세이용가	GC-DG-NV-18-00389	GCRB
155	GC-CC-NV-181019-010	SW_역전재판 123 나루호도 셀렉션	캡콤엔터테인먼트코리아 주식회사	2018-10-02	2018-10-19	12세이용가	GC-DG-NV-18-00381	GCRB
156	GC-CC-NV-181019-011	OPUS Collection(오퍼스 컬렉션)	대원미디어(주)	2018-10-02	2018-10-19	전체이용가	GC-DG-NV-18-00391	GCRB
157	GC-CC-NV-181019-012	PS4_캡콤 벨트액션 컬렉션	캡콤엔터테인먼트코리아 주식회사	2018-10-02	2018-10-19	12세이용가	GC-DG-NV-18-00392	GCRB
158	GC-CC-NV-181019-013	XB1_캡콤 벨트액션 컬렉션	캡콤엔터테인먼트코리아 주식회사	2018-10-02	2018-10-19	12세이용가	GC-DG-NV-18-00394	GCRB
159	GC-CC-NV-181019-014	SW_캡콤 벨트액션 컬렉션	캡콤엔터테인먼트코리아 주식회사	2018-10-02	2018-10-19	12세이용가	GC-DG-NP-18-00313	GCRB
160	GC-CC-NV-181019-015	Syberia 3 (사이베리아 3) NSW	(주) 에이치투인터렉티브	2018-10-01	2018-10-19	12세이용가	GC-DG-NP-18-00322	GCRB
161	GC-CC-NV-181019-016	PS4 God Eater 3 (갓 이터 3)	반다이남코 엔터테인먼트 코리아(주)	2018-10-02	2018-10-19	15세이용가	GC-DG-NP-18-00310	GCRB
162	GC-CC-NV-181019-017	[PS4] 네르케와 전설의 연금술사들 ~새로운 대지의 아틀리에~	(주)디지털터치	2018-10-05	2018-10-19	12세이용가	GC-DG-NP-18-00329	GCRB
163	GC-CC-NV-181019-018	[Switch] 네르케와 전설의 연금술사들 ~새로운 대지의 아틀리에~	(주)디지털터치	2018-10-05	2018-10-19	12세이용가	GC-DG-NP-18-00315	GCRB
164	GC-CC-NV-181019-019	밀크초코	게임파라디소 주식회사	2018-10-05	2018-10-19	12세이용가	GC-DG-NP-18-00320	GCRB
165	GC-CC-NV-181019-020	그립 (GRIP) PS4	(주) 에이치투인터렉티브	2018-10-08	2018-10-19	12세이용가	GC-DG-NP-18-00330	GCRB
166	GC-CC-NV-181019-021	X1 FINAL FANTASY XV MULTIPLAYER: COMRADES (파이널 판타지 XV 멀티플레이어: 전우)	반다이남코 엔터테인먼트 코리아(주)	2018-10-11	2018-10-19	15세이용가	GC-DG-NV-18-00384	GCRB
167	GC-CC-NV-181019-022	NS FINAL FANTASY X/X-2 HD Remaster (파이널 판타지 X/X-2 HD Remaster)	반다이남코 엔터테인먼트 코리아(주)	2018-10-11	2018-10-19	15세이용가	GC-DG-NV-18-00371	GCRB
168	GC-CC-NV-181019-023	X1 FINAL FANTASY X/X-2 HD Remaster (파이널 판타지 X/X-2 HD Remaster)	반다이남코 엔터테인먼트 코리아(주)	2018-10-15	2018-10-19	15세이용가	GC-DG-NV-18-00380	GCRB
169	GC-CC-NV-181019-024	프로젝트 하이라이즈 (Project Highrise) PS4	(주) 에이치투인터렉티브	2018-10-12	2018-10-19	전체이용가	GC-DG-NV-18-00393	GCRB
